Artist,Song
Lady Gaga,Die With A Smile
Ed Sheeran,Perfect
Metallica,Master Of Puppets
Taylor Swift,Shake It Off
The Weeknd,Blinding Lights
Kendrick Lamar,Luther
Kendrick Lamar,Squabble Up
Tate McRae,Sports Car
Kendrick Lamar,Not Like Us
Kendrick Lamar,TV Off
Gracie Abrams,That's So True
Lola Young,Messy
Ed Sheeran,Shape Of You
Ed Sheeran,Castle On The Hill
Lady Gaga,Shallow
Harry Styles,As It Was
KSI,Thick Of It
Billie Eilish,Birds Of A Feather
Billie Eilish,Bad Guy
Rick Astley,Never Gonna Give You Up
Myles Smith,Nice To Meet You
Bruno Mars,24K Magic
Drake,One Dance
Vance Joy,Riptide
The Chainsmokers,Closer
The Chainsmokers,Something Just Like This
The Weeknd,Starboy
Tones & I,Dance Monkey
Benson Boone,Beautiful Things
Noah Kahan,Stick Season
Central Cee,Doja
Mariah Carey,All I Want For Christmas Is You
The Beatles,Blackbird
Eric Clapton,Tears In Heaven
Ed Sheeran,Photograph
Ed Sheeran,The A Team
Sabrina Carpenter,Espresso
Sabrina Carpenter,Taste
Sabrina Carpenter,Please Please Please
Sabrina Carpenter,Nonsense
Sabrina Carpenter,Juno
Sabrina Carpenter,Good Graces
Ellie Goulding,Burn
Becky Hill,Remember
Becky Hill,Afterglow
Drake,Nokia
50 Cent,In Da Club
Metallica,Enter Sandman
Becky Hill,Back And Forth
Sabrina Carpenter,Bed Chem
Grieg,Morning Mood
The Beatles,Strawberry Fields Forever
Nirvana,Smells Like Teen Spirit
Bon Jovi,You Give Love A Bad Name
BTS,Dynamite
BTS,Butter
BTS,Permission To Dance
Aretha Franklin,Respect
Kendrick Lamar,Wesley's Theory
Kendrick Lamar,m.A.A.d City
Kendrick Lamar,Backseat Freestyle
Alex Warren,Ordinary
Alex Warren,Carry You Home
Wham!,Last Christmas
Brenda Lee,Rockin' Around The Christmas Tree
Kendrick Lamar,HUMBLE.
Taylor Swift,Cruel Summer
Taylor Swift,Fortnight
Taylor Swift,cardigan
The White Stripes,Seven Nation Army
Harry Styles,Watermelon Sugar
XXXTentacion,Jocelyn Flores
Bruno Mars,That's What I Like
Bruno Mars,Locked Out Of Heaven
Sting,Shape Of My Heart
Beethoven,Moonlight Sonata
Juice WRLD,Lucid Dreams
Chris Brown,Under The Influence
Jennifer Lopez,On The Floor
Chase & Status,Backbone
The Weeknd,Timeless
The Weeknd,Popular
Pitbull,International Love
Taylor Swift,Blank Space
The Beatles,Here Comes The Sun
The Beatles,Hey Jude
